ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
7569BC890583FCD7,classic_bike,23:54.5,37:52.0,Wacker Dr & Washington St,KA1503000072,McClurg Ct & Ohio St,TA1306000029,41.88314336,-87.63724208,41.89259212,-87.61728913,member
013609308856B7FC,electric_bike,44:06.8,49:11.1,Halsted St & Wrightwood Ave,TA1309000061,Racine Ave & Belmont Ave,TA1308000019,41.92914748,-87.64915276,41.939743,-87.658865,member
EACACD3CE0607C0D,classic_bike,16:27.7,28:03.2,Southport Ave & Waveland Ave,13235,Broadway & Cornelia Ave,13278,41.948226,-87.6640712,41.945529,-87.646439,member
EAA2485BA64710D3,classic_bike,49:05.8,52:40.0,Southport Ave & Waveland Ave,13235,Southport Ave & Roscoe St,13071,41.948226,-87.6640712,41.943739,-87.66402,member
7F8BE2471C7F746B,electric_bike,38:32.3,41:06.8,Southport Ave & Waveland Ave,13235,Southport Ave & Roscoe St,13071,41.948226,-87.6640712,41.943739,-87.66402,member
0B8DD16A9B77A1C7,electric_bike,09:06.8,10:55.8,Halsted St & 21st St,13162,Halsted St & 18th St,13099,41.85377981,-87.64660299,41.85750568,-87.64599144,member
65DD88D2EA5AA24A,electric_bike,11:59.7,15:54.2,Halsted St & Wrightwood Ave,TA1309000061,Southport Ave & Wrightwood Ave,TA1307000113,41.929143,-87.649077,41.928773,-87.663913,member
EAC4EE361C030130,electric_bike,43:29.0,01:38.9,Stave St & Armitage Ave,13266,Canal St & Madison St,13341,41.917741,-87.691392,41.882409,-87.639767,member
46267A54446162B5,electric_bike,45:24.7,50:20.5,Larrabee St & Kingsbury St,TA1306000009,Ogden Ave & Race Ave,13194,41.897764,-87.642884,41.891795,-87.658751,member
B5D4F9782121EA51,electric_bike,56:36.9,03:26.6,Albany Ave & Bloomingdale Ave,15655,Campbell Ave & Fullerton Ave,15648,41.91402671,-87.70512646,41.92463247,-87.68930701,member
3C1E48C025E88653,classic_bike,52:33.9,23:51.9,DuSable Lake Shore Dr & Wellington Ave,TA1307000041,Broadway & Barry Ave,13137,41.93668845,-87.63682902,41.93758232,-87.64409781,member
B157E60BBF2BA5F6,electric_bike,23:29.6,30:29.6,Clark St & Drummond Pl,TA1307000142,Clark St & Newport St,632,41.931248,-87.644336,41.94454,-87.654678,member
81AE62C30F86C0D2,classic_bike,11:31.1,17:05.3,Larrabee St & Kingsbury St,TA1306000009,Ogden Ave & Chicago Ave,TA1305000020,41.897764,-87.642884,41.89636246,-87.65406127,member
4978AFB4F96F17A6,classic_bike,20:23.4,28:29.5,Larrabee St & Kingsbury St,TA1306000009,State St & Pearson St,TA1307000061,41.897764,-87.642884,41.897448,-87.628722,member
1DCC4C0315A3B282,classic_bike,52:47.4,54:36.0,Calumet Ave & 18th St,13102,Calumet Ave & 18th St,13102,41.85761755,-87.61941075,41.85761755,-87.61941075,member
5B29C4C95B5320DA,electric_bike,06:42.8,11:43.9,Sheffield Ave & Webster Ave,TA1309000033,Halsted St & Clybourn Ave,331,41.92154,-87.653818,41.909668,-87.648128,member
18048F3531DAF576,electric_bike,20:05.1,23:32.4,Canal St & Jackson Blvd,13138,Halsted St & Polk St,TA1307000121,41.878125,-87.639968,41.87184,-87.64664,member
E2ACFA5C736376F6,electric_bike,26:24.1,42:18.7,California Ave & Fletcher St,15642,Kosciuszko Park,15643,41.93842879,-87.69800776,41.93058537,-87.72377736,member
B1810A3462EAA084,classic_bike,13:25.0,15:55.1,Hermitage Ave & Polk St,13080,Wood St & Taylor St (Temp),13285,41.871514,-87.669886,41.86926522,-87.67373085,member
461D6EC2A99BC110,classic_bike,45:46.5,05:59.3,Racine Ave & 15th St,13304,Stetson Ave & South Water St,TA1308000029,41.861267,-87.656625,41.886835,-87.62232,casual
172BD369FF6D3ADA,classic_bike,51:00.1,19:18.7,Central Park Ave & Elbridge Ave,15644,Kimball Ave & Belmont Ave,KA150400009X,41.93533728,-87.71688929,41.93939395,-87.71206766,member
AF381E3683CE622B,classic_bike,24:36.8,31:15.0,Morgan St & Polk St,TA1307000130,Desplaines St & Jackson Blvd,15539,41.871737,-87.65103,41.8781189,-87.6439476,member
90912007C68DC8DA,electric_bike,35:09.2,51:53.1,Ritchie Ct & Banks St,KA1504000134,Stetson Ave & South Water St,TA1308000029,41.906866,-87.626217,41.886835,-87.62232,member
5A7142E8A39FC161,electric_bike,56:43.9,00:28.1,Aberdeen St & Jackson Blvd,13157,Desplaines St & Jackson Blvd,15539,41.87787306,-87.65477872,41.8781189,-87.6439476,member
2D20CCFBE6719E47,classic_bike,12:04.1,19:13.9,Clinton St & Roosevelt Rd,WL-008,Desplaines St & Jackson Blvd,15539,41.86711778,-87.64108796,41.8781189,-87.6439476,member
009707A9E9077E1D,classic_bike,09:17.3,48:45.9,Shedd Aquarium,15544,DuSable Lake Shore Dr & North Blvd,LF-005,41.86722596,-87.61535539,41.911722,-87.626804,member
3DE54C00139A213B,classic_bike,53:07.3,56:35.8,Sheffield Ave & Willow St,TA1306000032,Sheffield Ave & Willow St,TA1306000032,41.913688,-87.652855,41.913688,-87.652855,member
DAFEB128254B6252,classic_bike,21:53.3,36:23.6,Clark St & Elm St,TA1307000039,Canal St & Monroe St,13056,41.902973,-87.63128,41.8829056,-87.6397409,member
29EB50E4965FA8A6,electric_bike,17:02.2,21:39.0,Sawyer Ave & Irving Park Rd,KA1504000096,Drake Ave & Addison St,KA1504000142,41.95358618,-87.7093108,41.947326,-87.717582,member
260FC94B2A150AE5,electric_bike,10:03.2,22:46.5,Desplaines St & Randolph St,15535,Canal St & Monroe St,13056,41.883703,-87.644238,41.8829056,-87.6397409,casual
4B81EE1E1B413989,electric_bike,39:30.3,48:08.0,Lincoln Ave & Roscoe St*,chargingstx5,Racine Ave & Fullerton Ave,TA1306000026,41.94335025,-87.67066777,41.925566,-87.658416,casual
0B6242FC5805AB59,electric_bike,28:17.9,50:01.0,Clark St & Schreiber Ave,KA1504000156,Racine Ave & Fullerton Ave,TA1306000026,41.999245,-87.671249,41.925566,-87.658416,casual
14CD6059DA03A8F4,electric_bike,42:46.4,42:52.5,Racine Ave & 15th St,13304,Racine Ave & 15th St,13304,41.861267,-87.656625,41.861267,-87.656625,member
83D1D41B252447DB,classic_bike,48:21.1,56:51.8,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.872773,-87.623981,41.872773,-87.623981,casual
358ED720AFD7C8CB,classic_bike,15:05.4,16:09.2,Michigan Ave & 8th St,623,Michigan Ave & 8th St,623,41.872773,-87.623981,41.872773,-87.623981,casual
21541548CF3FF7D1,classic_bike,14:12.7,27:15.0,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
D09E525EB019E3E8,electric_bike,29:09.3,43:54.2,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
3AD12C150A88E79E,electric_bike,23:50.9,27:59.5,Racine Ave & Belmont Ave,TA1308000019,Racine Ave & Fullerton Ave,TA1306000026,41.939743,-87.658865,41.925566,-87.658416,casual
D36106CA93DC1B8C,electric_bike,29:43.3,37:16.6,Woodlawn Ave & 55th St,TA1307000164,Woodlawn Ave & 55th St,TA1307000164,41.795264,-87.596471,41.795264,-87.596471,casual
27064F31728CCFE3,classic_bike,05:00.3,11:18.2,Racine Ave & Fullerton Ave,TA1306000026,Racine Ave & Belmont Ave,TA1308000019,41.925566,-87.658416,41.939743,-87.658865,casual
2FA0F717FE44CBFC,electric_bike,54:17.2,16:33.4,Dusable Harbor,KA1503000064,Racine Ave & Belmont Ave,TA1308000019,41.88687527,-87.61284185,41.939743,-87.658865,member
91CA4C9E6F9244F8,electric_bike,29:44.5,32:33.3,Woodlawn Ave & 58th St,22002,Woodlawn Ave & 55th St,TA1307000164,41.789381,-87.596479,41.795264,-87.596471,member
75C473A31E8826EE,electric_bike,50:31.9,58:32.4,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.89084704,-87.61861682,41.891578,-87.648384,member
6AA10BF0999EFE93,electric_bike,55:50.2,03:22.8,New St & Illinois St,TA1306000013,Milwaukee Ave & Grand Ave,13033,41.89084704,-87.61861682,41.891578,-87.648384,member
6635BF7D26E33A91,electric_bike,09:36.1,12:20.8,Clifton Ave & Armitage Ave,TA1307000163,Racine Ave & Fullerton Ave,TA1306000026,41.918216,-87.656936,41.925566,-87.658416,member
A603CF3D12237FB8,classic_bike,17:52.0,29:19.4,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
D1F20AD76F5D2A13,classic_bike,21:01.3,34:40.5,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
6D4CE41139A77CD5,classic_bike,20:58.9,32:40.9,Western Ave & Winnebago Ave,13068,Artesian Ave & Hubbard St,15664,41.91552,-87.687022,41.8895,-87.688257,member
F8C41696DB2EECF8,electric_bike,31:54.2,42:22.9,Broadway & Cornelia Ave,13278,Racine Ave & Fullerton Ave,TA1306000026,41.945529,-87.646439,41.925566,-87.658416,member
C544AFB54FB96B3D,electric_bike,15:48.1,19:14.4,Ellis Ave & 58th St,TA1309000011,Woodlawn Ave & 55th St,TA1307000164,41.788746,-87.601334,41.795264,-87.596471,member
40493EA61BA93D5A,classic_bike,04:28.3,07:05.9,Clark St & Newport St,632,Sheffield Ave & Waveland Ave,TA1307000126,41.94454,-87.654678,41.949399,-87.654529,member
9C0A791AE3D9C957,classic_bike,46:09.6,51:36.7,Wabash Ave & Grand Ave,TA1307000117,Daley Center Plaza,TA1306000010,41.891466,-87.626761,41.884241,-87.629634,member
